timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
1743643800000,83482.15,83526.66,83358.35,83438.99,168.69657,1743644099999,14078016.9067188,19208,84.53702,7054305.6236746,0
1743644100000,83438.01,83600.86,83412.01,83577.79,112.15177,1743644399999,9368589.077353,17497,81.00635,6766611.3842718,0
1743644400000,83577.78,83728.95,83477.52,83714.0,237.6805,1743644699999,19875796.1061769,19666,181.72568,15196543.4699527,0
1743644700000,83714.0,83884.61,83691.44,83783.01,147.32518,1743644999999,12344807.7296823,16842,100.69984,8438053.2678014,0
1743645000000,83783.01,83998.02,83766.18,83777.0,464.80102,1743645299999,38997769.7798062,18842,267.44938,22435957.6939486,0
1743645300000,83777.0,83900.0,83759.05,83761.62,103.82622,1743645599999,8702117.162568,10628,53.02274,4444766.9693771,0
1743645600000,83761.63,83894.91,83750.94,83764.91,92.76986,1743645899999,7775934.354515,15787,44.13236,3699192.7771307,0
1743645900000,83764.9,83764.91,83576.0,83629.93,154.13138,1743646199999,12893196.6775906,18031,63.91133,5346212.7100501,0
1743646200000,83629.93,83866.0,83629.92,83715.36,147.53425,1743646499999,12357121.2399301,16541,91.26451,7644670.7177266,0
1743646500000,83715.36,83748.55,83383.24,83391.18,359.94661,1743646799999,30078368.0339716,21080,72.5619,6063760.5336156,0
1743646800000,83391.18,83512.72,83389.52,83496.21,146.98112,1743647099999,12263094.0164458,11685,55.76722,4652592.7009798,0
1743647100000,83496.44,83496.45,83313.13,83423.04,75.54533,1743647399999,6300213.1374578,10962,34.2071,2853078.4016954,0
1743647400000,83423.04,83460.95,83278.99,83440.86,121.25663,1743647699999,10108241.0408578,12233,92.0831,7676368.0653813,0
1743647700000,83440.87,83594.53,83387.33,83586.45,91.74435,1743647999999,7658336.1233219,13019,72.11808,6020302.4929618,0
1743648000000,83586.46,83666.64,83500.0,83507.15,67.9792,1743648299999,5680107.6529629,12887,33.00071,2757553.1315027,0
1743648300000,83507.16,83685.34,83500.0,83677.61,57.81438,1743648599999,4833754.6007284,12967,36.00171,3009894.561467,0
1743648600000,83677.61,83768.79,83621.06,83768.78,59.93402,1743648899999,5017404.0229575,7441,44.08237,3690723.1353946,0
1743648900000,83768.77,83779.48,83723.61,83768.01,46.63433,1743649199999,3905716.5077098,5915,15.78967,1322411.3935282,0
1743649200000,83768.0,83792.58,83617.03,83632.01,67.92878,1743649499999,5686690.4910772,8552,40.90289,3424982.6691408,0
1743649500000,83632.01,83632.09,83506.4,83525.67,50.95352,1743649799999,4257482.2652804,7401,31.31177,2616178.8018094,0
1743649800000,83525.67,83543.75,83470.64,83487.88,57.75244,1743650099999,4822874.5451673,7448,24.48478,2044712.3930698,0
1743650100000,83487.89,83560.53,83476.0,83550.43,64.54005,1743650399999,5390838.2340009,8244,44.05794,3680242.876029,0
1743650400000,83550.43,83692.22,83550.43,83604.23,65.10443,1743650699999,5443188.6683404,8277,38.44382,3213454.5542664,0
1743650700000,83604.23,83626.44,83559.64,83608.65,26.71601,1743650999999,2233464.0152982,6332,11.81622,987770.8400926,0
1743651000000,83608.65,83688.68,83547.16,83547.16,60.75889,1743651299999,5081108.6330679,9284,18.69215,1563185.7741343,0
